"sexo","salario_anual","estado_civil","escolaridade","limite_credito","valor_transacoes_12m","classelimite_credito","classevalor_transacoes_12m"
"M","$80K - $120K","solteiro","doutorado","6278.72","1087.07","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","graduacao","1439.0","1226.43","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","doutorado","20758.33","1555.04","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","14612.54","1827.87","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","na","mestrado","27259.32","1376.59","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","6347.04","1771.54","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","doutorado","21592.49","1873.76","limite de crédito médio para alto","volume de transação média para alta"
"F","menos que $40K","casado","doutorado","3449.71","1679.81","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","7871.3","1428.62","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","11376.03","1302.61","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","12302.46","1483.6","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","34516.23","1060.78","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","34516.11","1330.44","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","1438.49","886.93","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","1438.61","844.25","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","2619.5","1450.42","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","graduacao","24407.22","2311.68","limite de crédito médio para alto","volume de transação média para alta"
"M","$120K +","casado","mestrado","11086.88","1523.79","limite de crédito médio para alto","volume de transação média para baixa"
"M","menos que $40K","solteiro","graduacao","2571.08","1234.81","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","5781.12","1600.6","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","3839.33","1271.61","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","divorciado","mestrado","2115.68","1223.72","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","divorciado","mestrado","1438.34","1117.13","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","graduacao","1438.92","1468.3","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","3106.63","1368.17","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","34516.68","1218.41","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","mestrado","5207.73","1310.79","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","divorciado","doutorado","17965.69","1767.49","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","graduacao","2733.26","933.05","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","8863.91","1512.98","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","na","mestrado","34516.4","1120.71","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","casado","graduacao","1438.71","815.11","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","3387.36","510.16","limite de crédito médio para baixo",
"M","$80K - $120K","casado","mestrado","1982.76","1377.75","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","solteiro","doutorado","2189.18","1287.55","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","21304.91","1770.89","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","doutorado","7577.25","1409.86","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","solteiro","doutorado","3234.67","1354.89","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","6990.3","1479.15","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","na","graduacao","34516.27","1283.15","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","1438.04","689.19","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","5207.14","1339.25","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","divorciado","mestrado","3187.02","1387.1","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","2290.0","1119.88","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","6363.6","1542.87","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","3401.34","744.28","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","34516.15","1575.13","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","2939.87","2434.79","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","mestrado","3342.44","1139.19","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","2532.68","799.6","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","doutorado","1900.47","1881.8","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","solteiro","mestrado","14546.36","1273.1","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","solteiro","doutorado","2521.96","1328.55","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","16427.37","1579.45","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","na","mestrado","13068.7","937.65","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","graduacao","23218.54","1749.28","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","divorciado","doutorado","5731.58","1554.39","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","34516.94","1350.53","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","mestrado","24221.87","1678.66","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","21637.35","1222.79","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","mestrado","14543.72","1536.56","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","1616.44","1389.6","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2759.61","2093.03","limite de crédito médio para baixo","volume de transação média para alta"
"M","$120K +","casado","mestrado","8249.68","678.76","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","solteiro","mestrado","14041.09","1467.33","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","5876.9","2133.4","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","solteiro","mestrado","34516.45","1122.25","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","2293.74","1166.3","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","na","doutorado","13399.15","1326.68","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","solteiro","mestrado","3378.72","1285.61","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","5012.65","1142.42","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","3471.41","1052.59","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","divorciado","mestrado","34516.45","1628.24","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2578.8","1378.69","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","6265.85","1715.26","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","2731.13","1220.43","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","34516.58","1106.62","limite de crédito médio para alto","volume de transação média para baixa"
"M","menos que $40K","casado","mestrado","2702.09","1658.87","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","2355.74","1441.86","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","solteiro","mestrado","5332.95","1371.53","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","10741.31","1278.64","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","casado","mestrado","5585.78","1787.12","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","2478.3","1558.6","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","2339.82","893.56","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2726.65","1099.14","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","1628.54","1893.82","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","casado","mestrado","3156.16","1151.85","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","4745.56","1519.2","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","3751.64","1060.56","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","solteiro","doutorado","18206.92","1439.96","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","2406.44","1173.67","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","12301.26","1307.95","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","2846.62","1473.58","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","12208.45","1409.9","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","na","doutorado","5639.0","647.1","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","10021.42","1275.53","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2027.76","1702.03","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","6363.88","1256.35","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","graduacao","3920.86","3178.3","limite de crédito médio para baixo","volume de transação média para alta"
"F","$40K - $60K","casado","doutorado","1944.32","1960.42","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","mestrado","28202.31","1629.33","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","na","graduacao","24850.92","1226.34","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","7477.58","1159.59","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","mestrado","6509.42","1409.82","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","13450.22","1000.97","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","na","mestrado","27000.76","1209.75","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","graduacao","34516.1","1366.35","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","6347.91","1161.54","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","2536.27","1750.8","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","doutorado","13048.6","1170.71","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","8077.65","1329.74","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","1929.53","857.65","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2185.35","715.45","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","24487.13","1512.38","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","4131.35","906.2","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","10790.91","1052.41","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","divorciado","mestrado","9478.46","1327.64","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","divorciado","graduacao","1491.47","1058.46","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","2305.95","1230.45","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","divorciado","doutorado","23138.99","1612.96","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","5798.11","1724.14","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","mestrado","6880.15","1784.37","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","na","mestrado","34516.25","1156.61","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","casado","graduacao","2075.97","2556.23","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","mestrado","4589.7","1590.84","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","2317.39","884.01","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","solteiro","mestrado","6038.72","1447.17","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","4320.56","706.26","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","5014.07","1209.54","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","23412.47","1786.6","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","3044.23","1456.04","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","na","doutorado","17030.72","715.56","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","23090.96","1198.34","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","na","doutorado","29205.28","1556.86","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","14035.68","1606.92","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","2061.78","2400.07","limite de crédito médio para baixo","volume de transação média para alta"
"F","na","casado","doutorado","24602.34","1337.75","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","graduacao","16867.12","654.61","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","2783.94","1909.12","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","doutorado","2972.3","922.94","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","2880.27","1323.14","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","4394.57","1377.24","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","18325.22","1517.95","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","3773.73","1528.14","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","21684.8","1329.95","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","solteiro","mestrado","9995.38","1172.88","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","11910.9","1646.24","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2279.86","1693.38","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","graduacao","3539.95","1336.23","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","1638.73","1885.66","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","mestrado","2947.19","1744.45","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","graduacao","7251.6","1300.15","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2641.6","1439.62","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","2801.27","1241.49","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","divorciado","graduacao","9336.07","1391.01","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","graduacao","2763.78","1246.31","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","doutorado","5100.12","2375.8","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","doutorado","3955.3","1238.61","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","solteiro","mestrado","2375.03","1071.28","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","1963.58","1378.41","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","graduacao","4256.94","1100.92","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","5097.67","2052.85","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","solteiro","mestrado","3228.28","1349.0","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","na","mestrado","20231.09","1215.86","limite de crédito médio para alto","volume de transação média para baixa"
"M","menos que $40K","solteiro","mestrado","2585.01","2644.77","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","graduacao","12151.06","918.45","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","10021.45","1463.75","limite de crédito médio para alto","volume de transação média para baixa"
